City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Mecca,SA,21.4267,39.8261,95.38,25,0,6.55,clear sky
207,Bodden Town,KY,19.2833,-81.25,86.0,71,40,9.22,scattered clouds
208,San Patricio,US,28.017,-97.5169,87.69,47,60,9.75,broken clouds
209,Alta Floresta,BR,-9.8756,-56.0861,91.22,49,0,8.05,clear sky
210,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,74,40,8.99,scattered clouds
211,Barentu,ER,15.1139,37.5928,95.32,10,0,23.62,clear sky
212,Lardos,GR,36.0942,28.0157,71.94,55,0,10.29,clear sky
213,Severo-Kurilsk,RU,50.6789,156.125,37.71,94,100,22.39,overcast clouds
214,Stryn,NO,61.9045,6.7226,50.72,88,98,4.85,overcast clouds
215,Jiuquan,CN,39.7432,98.5174,49.98,24,25,5.32,scattered clouds
216,Saint-Francois,FR,46.4154,3.9054,79.68,39,0,6.91,clear sky
217,Touros,BR,-5.1989,-35.4608,85.19,69,42,15.14,scattered clouds
218,Dharchula,IN,29.85,80.5333,72.52,49,56,8.37,broken clouds
219,Konstantinovo,BY,54.6628,29.2699,48.99,89,100,9.8,overcast clouds
220,Boende,CD,-0.2167,20.8667,84.56,63,63,0.16,broken clouds
221,Qasigiannguit,GL,68.8193,-51.1922,26.85,71,96,4.52,overcast clouds
222,East London,ZA,-33.0153,27.9116,65.16,69,42,12.73,scattered clouds
223,San Quintin,MX,30.4833,-115.95,70.65,52,42,6.11,scattered clouds
224,Camacha,PT,33.0833,-16.3333,69.22,64,20,17.27,few clouds
225,Black River,JM,18.0264,-77.8487,85.08,63,97,13.51,overcast clouds
226,Nelson Bay,AU,-32.7167,152.15,64.09,94,5,6.22,clear sky
227,Jalu,LY,29.0331,21.5482,81.46,20,0,14.79,clear sky
228,Sheboygan,US,43.7333,-87.9334,78.73,50,0,6.91,clear sky
229,Bethel,US,41.3712,-73.414,81.18,71,75,1.01,broken clouds
230,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.85,78,99,4.03,overcast clouds
231,Jobabo,CU,20.9692,-76.2994,82.42,54,100,6.58,overcast clouds
232,Eucaliptus,BO,-17.5833,-67.5167,55.06,21,9,11.23,clear sky
