City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Sijunjung,ID,2022-05-12 01:09:22,-0.6876,100.9537,77.61,80,100,4.27
154,Berlevag,NO,2022-05-12 01:09:22,70.8578,29.0864,39.15,93,100,10.36
155,Raudeberg,NO,2022-05-12 01:09:23,61.9875,5.1352,45.27,95,100,15.41
156,Ipixuna,BR,2022-05-12 01:09:23,-1.7625,-48.8043,73.99,97,100,2.98
157,Sao Sebastiao,BR,2022-05-12 01:09:24,-23.76,-45.4097,69.64,92,76,4.07
158,Tiznit,MA,2022-05-12 01:09:24,29.5833,-9.5,82.13,23,88,0.25
159,Bonavista,CA,2022-05-12 01:09:25,48.6499,-53.1147,43.86,70,4,20.58
160,Avarua,CK,2022-05-12 01:09:26,-21.2078,-159.775,82.45,83,75,10.36
161,Lorengau,PG,2022-05-12 01:09:26,-2.0226,147.2712,85.32,66,7,8.19
162,Chuy,UY,2022-05-12 01:07:53,-33.6971,-53.4616,54.41,75,82,8.14
163,Boguchany,RU,2022-05-12 01:09:27,58.3814,97.4531,53.55,58,10,1.28
164,Buckeye,US,2022-05-12 01:04:57,33.3703,-112.5838,84.24,5,0,17.27
165,Azare,NG,2022-05-12 01:08:16,11.6765,10.1948,86.63,43,89,6.15
166,Pavilosta,LV,2022-05-12 01:09:28,56.8879,21.1859,49.91,92,100,11.81
167,Kavieng,PG,2022-05-12 01:09:29,-2.5744,150.7967,84.47,72,80,11.1
168,Colares,PT,2022-05-12 01:09:30,38.7992,-9.4469,68.45,50,100,13.6
169,Tuktoyaktuk,CA,2022-05-12 01:09:30,69.4541,-133.0374,36.55,80,91,11.92
170,Flinders,AU,2022-05-12 01:09:31,-34.5833,150.8552,66.18,92,100,7.0
171,Belyy,RU,2022-05-12 01:09:31,55.8402,32.9419,51.55,84,100,6.55
172,Clinton,US,2022-05-12 01:06:39,42.587,-82.9199,76.46,46,100,0.0
173,Rapid Valley,US,2022-05-12 01:09:32,44.0625,-103.1463,64.38,64,0,17.27
174,Pueblo Bello,CO,2022-05-12 01:09:33,8.2041,-76.526,75.09,96,100,0.54
175,Lincoln,US,2022-05-12 01:07:30,40.8,-96.667,87.87,50,0,14.97
176,Mayo,US,2022-05-12 01:09:34,38.8876,-76.5119,66.58,77,0,4.61
177,Port Augusta,AU,2022-05-12 01:09:35,-32.5,137.7667,64.63,65,6,6.04
178,Aykhal,RU,2022-05-12 01:09:35,66.0,111.5,34.99,94,100,18.52
179,Pelym,RU,2022-05-12 01:09:36,61.0108,61.9978,49.26,78,100,3.49
180,Cherskiy,RU,2022-05-12 01:09:37,68.75,161.3,22.78,83,74,9.8
181,Revuca,SK,2022-05-12 01:09:37,48.6835,20.1173,61.21,84,21,3.15
182,Manokwari,ID,2022-05-12 01:09:38,-0.8667,134.0833,82.76,71,100,4.34
183,Dovolnoye,RU,2022-05-12 01:09:38,54.4958,79.6671,52.39,43,100,4.9
184,Muros,ES,2022-05-12 01:09:39,42.7762,-9.0603,61.09,81,100,9.26
185,Tasiilaq,GL,2022-05-12 01:09:39,65.6145,-37.6368,21.36,92,97,2.13
186,Longyearbyen,SJ,2022-05-12 01:09:40,78.2186,15.6401,17.44,79,0,11.5
187,Leh,IN,2022-05-12 01:09:40,34.1667,77.5833,46.36,58,1,4.79
188,Tomatlan,MX,2022-05-12 01:09:41,19.9333,-105.25,79.88,60,3,4.52
189,Okhotsk,RU,2022-05-12 01:06:03,59.3833,143.3,34.86,87,100,2.98
190,Santiago,CL,2022-05-12 01:09:42,-33.4569,-70.6483,70.99,48,100,2.08
191,Gao,ML,2022-05-12 01:09:42,16.6362,1.637,83.23,7,1,3.27
192,Doha,QA,2022-05-12 01:09:43,25.2867,51.5333,87.78,22,0,16.11
193,Palmer,US,2022-05-12 01:09:43,42.1584,-72.3287,69.4,56,20,5.75
194,Beisfjord,NO,2022-05-12 01:09:44,68.3751,17.5988,43.05,99,100,2.28
195,Tautira,PF,2022-05-12 01:09:44,-17.7333,-149.15,80.85,78,46,18.05
196,Lesnoy,RU,2022-05-12 01:09:45,57.6198,63.0784,45.88,80,100,10.38
197,Phuket,TH,2022-05-12 01:09:45,8.0,98.25,85.12,87,20,4.61
198,Aquiraz,BR,2022-05-12 01:09:46,-3.9014,-38.3911,78.89,86,98,8.16
199,Mapimi,MX,2022-05-12 01:09:46,25.8167,-103.85,74.21,42,87,12.68
200,Kieta,PG,2022-05-12 01:09:47,-6.2167,155.6333,85.5,61,35,4.68
201,Port Hedland,AU,2022-05-12 01:09:47,-20.3167,118.5667,78.85,27,33,5.75
202,Barra,BR,2022-05-12 01:09:48,-11.0894,-43.1417,76.33,60,38,4.72
203,Gimli,CA,2022-05-12 01:09:48,50.6336,-96.9907,46.53,73,100,9.98
204,Nishihara,JP,2022-05-12 01:09:49,26.1842,127.7558,80.65,95,75,16.11
205,Khatanga,RU,2022-05-12 01:09:50,71.9667,102.5,26.62,88,100,14.85
206,Llanes,ES,2022-05-12 01:09:50,43.4198,-4.7549,58.71,86,100,3.09
207,Ouro Preto Do Oeste,BR,2022-05-12 01:04:52,-10.7481,-62.2158,72.07,96,26,4.43
208,Ahuimanu,US,2022-05-12 01:09:51,21.4447,-157.8378,83.34,64,75,18.41
209,Grand Gaube,MU,2022-05-12 01:09:52,-20.0064,57.6608,74.37,88,18,6.49
210,Asau,RO,2022-05-12 01:09:52,46.4333,26.4,54.95,79,85,6.06
211,Zamosc,PL,2022-05-12 01:09:53,50.7231,23.252,55.9,88,13,9.51
212,Mamallapuram,IN,2022-05-12 01:09:53,12.6264,80.1722,82.45,58,64,9.8
213,Great Bend,US,2022-05-12 01:09:54,38.3645,-98.7648,86.61,53,0,21.85
214,Waingapu,ID,2022-05-12 01:09:54,-9.6567,120.2641,81.21,61,68,4.25
215,Abu Samrah,SY,2022-05-12 01:09:55,35.3029,37.1841,57.83,67,0,7.76
